image,composition,echogenicity,margins,calcifications,tirads
399_1.jpg,,,well defined smooth,macrocalcification,4b
4_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
40_1.jpg,solid,isoechogenicity,ill defined,macrocalcifications,4a
400_1.jpg,,,well defined smooth,microcalcification,4a
41_1.jpg,solid,hypoechogenicity,well defined,microcalcifications,4b
42_1.jpg,solid,isoechogenicity,well defined,macrocalcifications,4b
43_1.jpg,dense,hypoechogenicity,well defined,microcalcifications,4c
44_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
45_1.jpg,solid,hypoechogenicity,well defined,macrocalcifications,4b
46_1.jpg,dense,hypoechogenicity,spiculated,microcalcifications,5
47_1.jpg,solid,hypoechogenicity,well defined,non,4a
48_1.jpg,solid,isoechogenicity,,microcalcifications,4b
49_1.jpg,predominantly cystic,hypoechogenicity,well defined,microcalcifications,4a
5_1.jpg,solid,hypoechogenicity,ill defined,microcalcifications,5
50_1.jpg,predominantly solid,hyperechogenicity,well defined,microcalcifications,4a
51_1.jpg,solid,hyperechogenicity,well defined,non,2
52_1.jpg,solid,hyperechogenicity,well defined,microcalcifications,4a
53_1.jpg,dense,hypoechogenicity,ill defined,microcalcifications,4c
54_1.jpg,dense,hypoechogenicity,well defined,microcalcifications,4c
55_1.jpg,solid,hypoechogenicity,ill defined,microcalcifications,4b
56_1.jpg,predominantly solid,hypoechogenicity,spiculated,microcalcifications,5
57_1.jpg,spongiform,hypoechogenicity,well defined,macrocalcifications,4b
58_1.jpg,,,,,
58_2.jpg,,,,,
59_1.jpg,,,,,
6_1.jpg,spongiform,isoechogenicity,ill defined,microcalcifications,4b
60_1.jpg,,,,,
61_1.jpg,solid,hyperechogenicity,well defined,non,2
62_1.jpg,,,,,
62_2.jpg,,,,,
62_3.jpg,,,,,
63_1.jpg,,,,,
64_1.jpg,,,,,
64_2.jpg,,,,,
64_3.jpg,,,,,
65_1.jpg,predominantly solid,isoechogenicity,well defined,macrocalcifications,4a
65_2.jpg,predominantly solid,isoechogenicity,well defined,macrocalcifications,4a
66_1.jpg,solid,marked hypoechogenicity,well defined,non,2
67_1.jpg,solid,marked hypoechogenicity,well defined,non,4b
68_1.jpg,predominantly solid,isoechogenicity,ill defined,macrocalcifications,4b
69_1.jpg,,,,,
69_2.jpg,,,,,
69_3.jpg,,,,,
7_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
70_1.jpg,predominantly solid,isoechogenicity,ill defined,non,4a
71_1.jpg,,,,,
72_1.jpg,,,,,
73_1.jpg,solid,isoechogenicity,well defined,microcalcifications,4b
74_1.jpg,solid,hypoechogenicity,ill defined,microcalcifications,4c
75_1.jpg,,,,,
75_2.jpg,,,,,
76_1.jpg,predominantly solid,isoechogenicity,well defined,microcalcifications,4a
77_1.jpg,,,,,
78_1.jpg,predominantly cystic,isoechogenicity,well defined,microcalcifications,4b
79_1.jpg,solid,hypoechogenicity,spiculated,non,4b
8_1.jpg,dense,hypoechogenicity,well defined,non,4c
80_1.jpg,solid,marked hypoechogenicity,macrolobulated,macrocalcifications,5
80_2.jpg,solid,marked hypoechogenicity,macrolobulated,macrocalcifications,5
81_1.jpg,solid,hypoechogenicity,spiculated,microcalcifications,5
81_2.jpg,solid,hypoechogenicity,spiculated,microcalcifications,5
82_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
83_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
84_1.jpg,,,,,
85_1.jpg,solid,marked hypoechogenicity,ill defined,non,5
85_2.jpg,solid,marked hypoechogenicity,ill defined,non,5
86_1.jpg,predominantly cystic,isoechogenicity,well defined,non,4a
87_1.jpg,,,,,
88_1.jpg,predominantly cystic,isoechogenicity,well defined,microcalcifications,4a
88_2.jpg,predominantly cystic,isoechogenicity,well defined,microcalcifications,4a
89_1.jpg,solid,isoechogenicity,well defined,microcalcifications,4b
9_1.jpg,predominantly solid,hyperechogenicity,well defined,non,4b
90_1.jpg,predominantly solid,isoechogenicity,well defined,non,4b
90_2.jpg,predominantly solid,isoechogenicity,well defined,non,4b
91_1.jpg,solid,hypoechogenicity,well defined,microcalcifications,4c
92_1.jpg,,,,,
92_2.jpg,,,,,
92_3.jpg,,,,,
92_4.jpg,,,,,
93_1.jpg,solid,hyperechogenicity,well defined,microcalcifications,4a
93_2.jpg,solid,hyperechogenicity,well defined,microcalcifications,4a
94_1.jpg,solid,isoechogenicity,well defined,non,4a
95_1.jpg,solid,isoechogenicity,well defined,microcalcifications,4a
96_1.jpg,,,,,
96_2.jpg,,,,,
97_1.jpg,,,,,
97_2.jpg,,,,,
98_1.jpg,solid,hyperechogenicity,well defined,non,4a
99_1.jpg,,,,,
99_2.jpg,,,,,
